date,Brazil
2020-11-26,6204220
2020-11-27,6238350
2020-11-28,6290272
2020-11-29,6314740
2020-11-30,6335878
2020-12-01,6386787
2020-12-02,6436650
2020-12-03,6487084
2020-12-04,6533968
2020-12-05,6577177
2020-12-06,6603540
2020-12-07,6623911
2020-12-08,6674999
2020-12-09,6728452
2020-12-10,6781799
2020-12-11,6836227
2020-12-12,6880127
2020-12-13,6901952
2020-12-14,6927145
2020-12-15,6970034
2020-12-16,7040608
2020-12-17,7110434
2020-12-18,7162978
2020-12-19,7213155
2020-12-20,7238600
2020-12-21,7263619
2020-12-22,7318821
2020-12-23,7365517
2020-12-24,7423945
2020-12-25,7448560
2020-12-26,7465806
2020-12-27,7484285
2020-12-28,7504833
2020-12-29,7563551
2020-12-30,7619200
2020-12-31,7675973
2021-01-01,7700578
2021-01-02,7716405
2021-01-03,7733746
2021-01-04,7753752
2021-01-05,7810400
2021-01-06,7873830
2021-01-07,7961673
2021-01-08,8013708
2021-01-09,8075998
2021-01-10,8105790
2021-01-11,8131612
2021-01-12,8195637
2021-01-13,8256536
2021-01-14,8324294
2021-01-15,8393492
2021-01-16,8455059
2021-01-17,8488099
2021-01-18,8511770
2021-01-19,8573864
2021-01-20,8638249
2021-01-21,8697368
2021-01-22,8753920
2021-01-23,8816254
2021-01-24,8844577
2021-01-25,8871393
2021-01-26,8933356
2021-01-27,8996876
2021-01-28,9058687
2021-01-29,9118513
2021-01-30,9176975
2021-01-31,9204731
2021-02-01,9229322
2021-02-02,9283418
2021-02-03,9339420
2021-02-04,9396293
2021-02-05,9447165
2021-02-06,9447165
2021-02-07,9524640
2021-02-08,9524640
2021-02-09,9599565
2021-02-10,9659167
2021-02-11,9713909
2021-02-12,9765455
2021-02-13,9809754
2021-02-14,9834513
2021-02-15,9866710
2021-02-16,9921981
2021-02-17,9978747
2021-02-18,10030626
2021-02-19,10084208
2021-02-20,10139148
2021-02-21,10168174
2021-02-22,10195160
2021-02-23,10257875
2021-02-24,10324463
2021-02-25,10390461
2021-02-26,10455630
2021-02-27,10517232
2021-02-28,10551259
2021-03-01,10587001
2021-03-02,10646926
2021-03-03,10718630
2021-03-04,10793732
2021-03-05,10869227
2021-03-06,10938836
2021-03-07,11019344
2021-03-08,11051665
2021-03-09,11122429
2021-03-10,11202305
2021-03-11,11277717
2021-03-12,11363380
2021-03-13,11439558
2021-03-14,11483370
2021-03-15,11519609
2021-03-16,11603535
2021-03-17,11693838
2021-03-18,11780820
2021-03-19,11871390
2021-03-20,11950459
2021-03-21,11998233
2021-03-22,12047526
2021-03-23,12130019
2021-03-24,12220011
2021-03-25,12320169
2021-03-26,12404414
2021-03-27,12490362
2021-03-28,12534688
2021-03-29,12573615
2021-03-30,12658109
2021-03-31,12748747
2021-04-01,12839844
2021-04-02,12910082
2021-04-03,12953597
2021-04-04,12984956
2021-04-05,13013601
2021-04-06,13100580
2021-04-07,13193205
2021-04-08,13279857
2021-04-09,13373174
2021-04-10,13445006
2021-04-11,13482023
2021-04-12,13517808
2021-04-13,13599994
2021-04-14,13673507
2021-04-15,13746681
2021-04-16,13832455
2021-04-17,13900091
2021-04-18,13943071
2021-04-19,13973695
2021-04-20,14043076
2021-04-21,14122795
2021-04-22,14167973
2021-04-23,14237078
2021-04-24,14308215
2021-04-25,14340787
2021-04-26,14369423
2021-04-27,14441563
2021-04-28,14521289
2021-04-29,14590678
2021-04-30,14659011
2021-05-01,14725975
2021-05-02,14754910
2021-05-03,14779529
2021-05-04,14856888
2021-05-05,14930183
2021-05-06,15003563
2021-05-07,15082449
2021-05-08,15145879
2021-05-09,15184790
2021-05-10,15209990
2021-05-11,15282705
2021-05-12,15359397
2021-05-13,15433989
2021-05-14,15519525
2021-05-15,15586534
2021-05-16,15627243
2021-05-17,15657391
2021-05-18,15732836
2021-05-19,15812055
2021-05-20,15894094
2021-05-21,15970949
2021-05-22,16047439
2021-05-23,16083258
2021-05-24,16120756
2021-05-25,16194209
2021-05-26,16274695
2021-05-27,16342162
2021-05-28,16391930
2021-05-29,16471600
2021-05-30,16515120
2021-05-31,16545554
2021-06-01,16624480
2021-06-02,16720081
2021-06-03,16803472
2021-06-04,16841408
2021-06-05,16907425
2021-06-06,16947062
2021-06-07,16984218
2021-06-08,17037129
2021-06-09,17122877
2021-06-10,17210969
2021-06-11,17296118
2021-06-12,17374818
